level,experiment,rank,feature,importance
flight_level,train_vs_geo_holdout,1,origin_code,0.3408682942390442
flight_level,train_vs_geo_holdout,2,file_size_log,0.32836928963661194
flight_level,train_vs_geo_holdout,3,dest_code,0.30568007826805116
flight_level,train_vs_geo_holdout,4,hour,0.015792801417410372
flight_level,train_vs_geo_holdout,5,month,0.004766524257138372
flight_level,train_vs_geo_holdout,6,day_of_year,0.004523024661466479
flight_level,train_vs_time_holdout,1,hour,0.25791692137718203
flight_level,train_vs_time_holdout,2,file_size_log,0.2526683658361435
flight_level,train_vs_time_holdout,3,origin_code,0.24956631064414977
flight_level,train_vs_time_holdout,4,dest_code,0.23984840214252473
sample_level,fold0_vs_other_folds,1,vn_entropy,0.016299708932638168
sample_level,fold0_vs_other_folds,2,peak_pdist_max,0.013678273186087608
sample_level,fold0_vs_other_folds,3,raw_sum_log10,0.012795796245336532
sample_level,fold0_vs_other_folds,4,band0_max,0.01227282416075468
sample_level,fold0_vs_other_folds,5,peak_centroid_delay,0.011615763418376446
sample_level,fold0_vs_other_folds,6,peak_cluster_coeff,0.0111926537938416
sample_level,fold0_vs_other_folds,7,shannon_entropy,0.010566127859055996
sample_level,fold0_vs_other_folds,8,count_snr_db,0.01054892037063837
sample_level,fold0_vs_other_folds,9,pol_entropy_diff,0.01045575998723507
sample_level,fold0_vs_other_folds,10,raw_peak_log10,0.010217899270355702
sample_level,fold0_vs_other_folds,11,peak_excess_db,0.010107401572167874
sample_level,fold0_vs_other_folds,12,gini,0.010013494547456503
sample_level,fold0_vs_other_folds,13,peak_pdist_var,0.009745353739708662
sample_level,fold0_vs_other_folds,14,p25,0.009472235105931759
sample_level,fold0_vs_other_folds,15,is_lhcp,0.009391950629651546
sample_level,train_vs_geo_holdout,1,band1_max,0.07369062304496765
sample_level,train_vs_geo_holdout,2,com_delay,0.04309664070606232
sample_level,train_vs_geo_holdout,3,pol_excess_ratio_db,0.02602568082511425
sample_level,train_vs_geo_holdout,4,peak_rel_pos_delay,0.02008957788348198
sample_level,train_vs_geo_holdout,5,peak_int_max,0.019909872487187386
sample_level,train_vs_geo_holdout,6,pol_snr_diff_db,0.019216136634349824
sample_level,train_vs_geo_holdout,7,p10,0.01866297423839569
sample_level,train_vs_geo_holdout,8,peak_delay,0.017587899416685104
sample_level,train_vs_geo_holdout,9,max,0.0175317345187068
sample_level,train_vs_geo_holdout,10,raw_sum_log10,0.017281795293092726
sample_level,train_vs_geo_holdout,11,is_lhcp,0.017239413037896157
sample_level,train_vs_geo_holdout,12,raw_peak_log10,0.01665311921387911
sample_level,train_vs_geo_holdout,13,peak_dist_to_center,0.01588814426213503
sample_level,train_vs_geo_holdout,14,pol_shape_corr,0.015696609392762184
sample_level,train_vs_geo_holdout,15,peak_centroid_delay,0.015506271086633206
sample_level,train_vs_time_holdout,1,wf_fft_median,0.2672075927257538
sample_level,train_vs_time_holdout,2,peak_cluster_coeff,0.09648652747273445
sample_level,train_vs_time_holdout,3,peak_bbox_w,0.06880783662199974
sample_level,train_vs_time_holdout,4,peak_connectivity_8,0.05039831548929215
sample_level,train_vs_time_holdout,5,vn_entropy,0.032077249512076376
sample_level,train_vs_time_holdout,6,min,0.031993305683135985
sample_level,train_vs_time_holdout,7,peak_mu02,0.028788666427135467
sample_level,train_vs_time_holdout,8,peak_pdist_max,0.02701463147532195
sample_level,train_vs_time_holdout,9,wf_autocorr_lag1,0.025473541766405105
sample_level,train_vs_time_holdout,10,peak_spread_total,0.024443283351138233
sample_level,train_vs_time_holdout,11,p75,0.01909019984304905
sample_level,train_vs_time_holdout,12,peak_spread_doppler,0.014080751314759254
sample_level,train_vs_time_holdout,13,peak_background_contrast,0.012985592521727086
sample_level,train_vs_time_holdout,14,band4_max,0.012745880149304866
sample_level,train_vs_time_holdout,15,skew,0.009982519410550594
