feature_set,groups,n_features,cv_auc,cv_auc_std,cv_ap,cv_f1,geo_auc,geo_ap,geo_f1,time_auc,time_ap,time_f1,seconds
raw pixels,raw,200,0.886501244589925,0.002788474378382,0.8728953452024587,0.8143363071872909,0.9082642000292672,0.9022624627090228,0.8201876302988187,0.8723147515738282,0.8561129972549699,0.805306158206939,107.9761037826538
global,global,45,0.8858864747819988,0.0031237633253199,0.8732009130583969,0.8129288460275559,0.9061324611297924,0.8986206306311755,0.8163427612101081,0.8704231294891605,0.8540111753758759,0.803642447526448,80.99757099151611
peak,peak,49,0.8719388218867451,0.0033161218153298,0.8557415721386569,0.7995019754699093,0.8971126938359929,0.8884201362790208,0.8034701458031502,0.8584498866719452,0.8390895022911302,0.792712682929578,81.3638527393341
coherence,coherence,16,0.8707455382268707,0.0031194774739575,0.8565647493960409,0.794271461941843,0.8955707731594267,0.8896402074577799,0.797727878334904,0.8558334798756223,0.8386367743139458,0.7874347342292219,70.39591717720032
power,power,4,0.8427776567038933,0.0026293452332688,0.8380860845579754,0.7649899590042637,0.876938347463204,0.8789810415273782,0.7903874471906606,0.8608264994607787,0.8520856451478168,0.7570747579923534,39.15440511703491
polarimetric,polarimetric,7,0.9256787369610124,0.0027313886177898,0.9131220159396688,0.8614534708001473,0.9554894111480452,0.9453700566555664,0.8822852253576122,0.9173594589285056,0.9057045676961272,0.85004015736241,67.59766292572021
quadrant,quadrant,16,0.8690265742930585,0.0031180626221011,0.8535064179611919,0.7961867573018802,0.8902715811776699,0.8813068197753604,0.800347886588972,0.8613432384838221,0.8426691882636341,0.7932243828160621,71.68248796463013
meta,meta,6,0.9222576442053332,0.0013684546043918,0.9260349094698498,0.842589551858047,0.9061005025209544,0.8996521779683287,0.8175995723208799,0.936358862291826,0.9365667943482072,0.8507494481406586,69.49353265762329
global+peak,global+peak,94,0.8873699030345016,0.0029847424855932,0.8742277069667402,0.8153490333957313,0.9079974940674967,0.9000726366307455,0.8183883909583131,0.8722220615827972,0.8554360926204443,0.8057762707289506,75.80378818511963
global+peak+coherence,global+peak+coherence,110,0.8884311332669862,0.0028979368122969,0.8753233959264479,0.8161752925953637,0.9088656138986148,0.9007959498890232,0.819327795468416,0.8734920053450628,0.8569006153759142,0.8068619599578505,94.59527349472046
DDM set (global+peak+coherence+power),global+peak+coherence+power,114,0.9085244625004364,0.0019056080575569,0.9042368578136504,0.8297145886163129,0.9224586342625168,0.9206946326358848,0.8382987500101872,0.9018745469096332,0.8952620786139791,0.8237900028382739,95.59805202484132
default (DDM set + polarimetric),global+peak+coherence+power+polarimetric,121,0.9613088130637356,0.0014314485905925,0.957455177182595,0.8995141620080389,0.9697904858995212,0.9642759521715424,0.903767055510276,0.959171227068088,0.9561169773061946,0.8937671884384493,92.70613360404968
default + quadrant,global+peak+coherence+power+polarimetric+quadrant,137,0.9613573532401284,0.0013873836091629,0.9575910091386606,0.8993934299447789,0.9699578604334308,0.9645375343894524,0.9042277629378296,0.9595035980802392,0.9565061040223672,0.8944105089557126,106.29665946960448
default + meta,global+peak+coherence+power+polarimetric+meta,127,0.9821783986896294,0.0009508547720806,0.9801022301762236,0.9414393834933092,0.9743594625688942,0.9643357103486472,0.921405874534588,0.982083330747374,0.980694337238271,0.9400849437495266,104.95454168319702
default + raw pixels,global+peak+coherence+power+polarimetric+raw,321,0.9611185616749234,0.0014653705847717,0.9571487699372098,0.8995325271896123,0.9701013161130916,0.9645001741371034,0.9044163181808692,0.9595674187594976,0.9564512472786212,0.8948317756472488,136.57486963272095
default - global,peak+coherence+power+polarimetric,76,0.958826476012058,0.0014512932455696,0.9549423896865278,0.8950639965384779,0.96794986097684,0.962174638658288,0.900890993870862,0.9567333293754756,0.9533904987026588,0.8903843509350935,93.00711965560912
default - peak,global+coherence+power+polarimetric,72,0.9613948914921568,0.0014240425929639,0.9577013309956428,0.8993572130168224,0.9698086813460391,0.964262880523348,0.903660224706596,0.9588227141580886,0.9558002523779184,0.8934519341656099,83.82483148574829
default - coherence,global+peak+power+polarimetric,105,0.9610722997128274,0.00135595462419,0.957294233137062,0.89879526715583,0.9696277667769936,0.9640440967395651,0.903549165099476,0.9589630867323464,0.9559766908048356,0.8935616324208457,99.9434094429016
default - power,global+peak+coherence+polarimetric,117,0.9537261556912272,0.0017345337778641,0.947890093645688,0.8908662592213948,0.9684952899250148,0.9619541248037916,0.8996894832650434,0.9461204975704164,0.9406911789968136,0.8783599859105319,101.75390434265135
default - polarimetric,global+peak+coherence+power,114,0.9085244625004364,0.0019056080575569,0.9042368578136504,0.8297145886163129,0.9224586342625168,0.9206946326358848,0.8382987500101872,0.9018745469096332,0.8952620786139791,0.8237900028382739,84.35698795318604
default - delay position,"global+peak+coherence+power+polarimetric - peak_delay,com_delay,peak_centroid_delay,peak_rel_pos_delay,peak_dist_to_center,band0_sum,band0_max,band1_sum,band1_max,band2_sum,band2_max,band3_sum,band3_max,band4_sum,band4_max",106,0.959377452997891,0.0013503694505212,0.955499953371768,0.8962867513084538,0.9683683475365148,0.9626094069970972,0.9019166824089406,0.95704164986032,0.953882053425904,0.890777470223357,100.21417999267578
latent,latent,20,0.881960051674571,0.0030015362244429013,0.8683055134373834,0.8098765360757083,0.9037845187404767,0.8972305847488851,0.814377415787971,0.8688629257900214,0.8518740595496037,0.8000102642180804,75.49519038200378
default + latent,global+peak+coherence+power+polarimetric+latent,141,0.961618271827829,0.001410253647838197,0.9578270348571577,0.8998046597483753,0.9699793266378696,0.9644391067100686,0.9042688189379641,0.9596576163338624,0.9567449781115757,0.8947568105128221,95.20546102523804
