split,fold,roc_auc,avg_precision
by flight,0,0.9632800129433341,0.9594092305303766
by flight,1,0.9620251916591344,0.9583263432363663
by flight,2,0.9599733684989797,0.9565876543528874
by flight,3,0.9598911910629122,0.9556379083444559
by flight,4,0.9613743011543171,0.9573147494488886
random rows,0,0.9623746733853787,0.959075272088692
random rows,1,0.9626525564189262,0.9593575463966798
random rows,2,0.9627189835785396,0.9591848613884303
random rows,3,0.9616133310976569,0.9582818326229714
random rows,4,0.9624092347844434,0.9593788865353859
