number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lambda_sparse,params_lr,params_mask_type,params_n_d,params_n_steps,user_attrs_epochs,state
0,,2026-09-04 19:02:46.227890,,,4096,1.1,2.9375384576328313e-06,0.007965261308120504,sparsemax,64,5,,RUNNING
1,0.9531696572212911,2026-09-04 20:28:37.502181,2026-09-04 20:29:58.450093,0 days 00:01:20.947912,4096,1.1,2.9375384576328313e-06,0.007965261308120504,sparsemax,64,5,30.0,COMPLETE
2,0.9582214764844299,2026-09-04 20:29:58.457462,2026-09-04 20:30:59.303894,0 days 00:01:00.846432,4096,1.3,3.752055855124284e-05,0.00836904289437607,entmax,32,3,30.0,COMPLETE
3,0.938784258218351,2026-09-04 20:30:59.309718,2026-09-04 20:33:08.062662,0 days 00:02:08.752944,2048,1.6,1.3783237455007196e-06,0.0006746417134006625,entmax,64,5,30.0,COMPLETE
4,0.9553297324445325,2026-09-04 20:33:08.068467,2026-09-04 20:36:16.416305,0 days 00:03:08.347838,1024,1.1,3.058656666978529e-05,0.0016463795672118085,sparsemax,128,4,30.0,COMPLETE
5,0.8946813745193577,2026-09-04 20:36:16.421845,2026-09-04 20:37:52.963577,0 days 00:01:36.541732,4096,2.0,0.00048359527764659497,0.0007515450322528412,sparsemax,128,6,30.0,COMPLETE
6,0.948011649433224,2026-09-04 20:37:52.968739,2026-09-04 20:41:01.298922,0 days 00:03:08.330183,1024,1.3,4.247058562261871e-05,0.0007048087574907933,sparsemax,128,4,30.0,COMPLETE
7,0.9597194627802708,2026-09-04 20:41:01.304292,2026-09-04 20:44:33.640822,0 days 00:03:32.336530,1024,1.8,1.6677615430197902e-06,0.0266180879737575,entmax,64,5,30.0,COMPLETE
8,0.9596105531003093,2026-09-04 20:44:33.647057,2026-09-04 20:46:47.701761,0 days 00:02:14.054704,2048,1.9,2.6100256506134754e-05,0.01661652103113396,sparsemax,128,5,30.0,COMPLETE
9,0.9592467873652696,2026-09-04 20:46:47.707226,2026-09-04 20:47:48.829983,0 days 00:01:01.122757,4096,1.0,8.11392957263784e-05,0.03266652610113867,sparsemax,32,3,30.0,COMPLETE
10,0.9609333591424366,2026-09-04 20:47:48.835072,2026-09-04 20:49:25.978725,0 days 00:01:37.143653,2048,2.0,0.00026568139241144923,0.02024483111292337,sparsemax,128,3,30.0,COMPLETE
11,0.94935221264104,2026-09-04 20:49:25.984842,2026-09-04 20:51:51.542392,0 days 00:02:25.557550,2048,1.6,0.0006265293291345968,0.0028810840279829115,entmax,128,6,30.0,COMPLETE
12,0.9611358992505538,2026-09-04 20:51:51.547589,2026-09-04 20:54:54.411818,0 days 00:03:02.864229,1024,1.8,6.954771451368797e-06,0.039861000483519274,entmax,64,4,30.0,COMPLETE
13,0.9603474676117836,2026-09-04 20:54:54.417616,2026-09-04 20:56:43.292053,0 days 00:01:48.874437,2048,1.7000000000000002,7.738252444995302e-06,0.04328029414324784,entmax,64,4,29.0,COMPLETE
14,0.9609004609173738,2026-09-04 20:56:43.297545,2026-09-04 20:59:07.987723,0 days 00:02:24.690178,1024,2.0,0.0002069055008696333,0.01529576958796914,entmax,64,3,28.0,COMPLETE
15,0.9601395778836456,2026-09-04 20:59:07.993158,2026-09-04 21:02:13.892629,0 days 00:03:05.899471,1024,1.8,7.902738188717428e-06,0.04911189954127719,sparsemax,32,4,30.0,COMPLETE
