nohup: input ignorato
[P0.3 ETL] Loading fold assignments from /home/atogni/Scrivania/rongowai-earth-surface-classifier/rework/results/p0_1_flight_index.parquet
[P0.3 ETL] 7293 flights in index.
[P0.3 ETL] Loading encoder from /home/atogni/Scrivania/rongowai-earth-surface-classifier/geo_k/raw_counts/encoder_enh.pth (device=cpu)
[P0.3 ETL] Opened writer for split 'train_cv' → /home/atogni/Scrivania/rongowai-earth-surface-classifier/rework/results/p0_3_features/train_cv.parquet
[P0.3 ETL] Opened writer for split 'val_geographic_holdout' → /home/atogni/Scrivania/rongowai-earth-surface-classifier/rework/results/p0_3_features/val_geographic_holdout.parquet
[P0.3 ETL] 10 flights | 41245 samples | 0.42 flights/s | 24.0s elapsed
[P0.3 ETL] 20 flights | 75836 samples | 0.43 flights/s | 46.9s elapsed
[P0.3 ETL] 30 flights | 95883 samples | 0.48 flights/s | 62.6s elapsed
[P0.3 ETL] 40 flights | 146544 samples | 0.40 flights/s | 99.8s elapsed
[P0.3 ETL] 50 flights | 210504 samples | 0.34 flights/s | 147.9s elapsed
[P0.3 ETL] 60 flights | 260899 samples | 0.33 flights/s | 181.9s elapsed
[P0.3 ETL] 70 flights | 291828 samples | 0.34 flights/s | 204.6s elapsed
[P0.3 ETL] 80 flights | 340847 samples | 0.34 flights/s | 238.3s elapsed
[P0.3 ETL] 90 flights | 373294 samples | 0.34 flights/s | 261.2s elapsed
[P0.3 ETL] 100 flights | 439667 samples | 0.33 flights/s | 307.1s elapsed
[P0.3 ETL] 110 flights | 481398 samples | 0.33 flights/s | 337.2s elapsed
[P0.3 ETL] 120 flights | 515118 samples | 0.33 flights/s | 361.4s elapsed
[P0.3 ETL] 130 flights | 573893 samples | 0.32 flights/s | 403.9s elapsed
[P0.3 ETL] 140 flights | 596582 samples | 0.33 flights/s | 421.2s elapsed
[P0.3 ETL] 150 flights | 658435 samples | 0.33 flights/s | 459.9s elapsed
[P0.3 ETL] 160 flights | 697328 samples | 0.33 flights/s | 487.9s elapsed
[P0.3 ETL] 170 flights | 764342 samples | 0.32 flights/s | 529.8s elapsed
[P0.3 ETL] 180 flights | 841234 samples | 0.31 flights/s | 584.5s elapsed
[P0.3 ETL] 190 flights | 910972 samples | 0.30 flights/s | 628.3s elapsed
[P0.3 ETL] 200 flights | 943414 samples | 0.31 flights/s | 650.4s elapsed
[P0.3 ETL] 210 flights | 993208 samples | 0.31 flights/s | 687.0s elapsed
[P0.3 ETL] 220 flights | 1041609 samples | 0.30 flights/s | 723.0s elapsed
[P0.3 ETL] 230 flights | 1092582 samples | 0.30 flights/s | 757.9s elapsed
[P0.3 ETL] 240 flights | 1127638 samples | 0.31 flights/s | 782.0s elapsed
[P0.3 ETL] 250 flights | 1164321 samples | 0.31 flights/s | 808.4s elapsed
[P0.3 ETL] 260 flights | 1178114 samples | 0.32 flights/s | 819.3s elapsed
[P0.3 ETL] 270 flights | 1189998 samples | 0.33 flights/s | 829.3s elapsed
[P0.3 ETL] 280 flights | 1274029 samples | 0.32 flights/s | 885.7s elapsed
[P0.3 ETL] 290 flights | 1333048 samples | 0.31 flights/s | 928.5s elapsed
[P0.3 ETL] 300 flights | 1375819 samples | 0.31 flights/s | 962.4s elapsed
[P0.3 ETL] 310 flights | 1452192 samples | 0.31 flights/s | 1008.7s elapsed
[P0.3 ETL] 320 flights | 1480489 samples | 0.31 flights/s | 1030.1s elapsed
[P0.3 ETL] 330 flights | 1518192 samples | 0.31 flights/s | 1059.3s elapsed
[P0.3 ETL] 340 flights | 1576139 samples | 0.31 flights/s | 1100.8s elapsed
[P0.3 ETL] 350 flights | 1628836 samples | 0.31 flights/s | 1135.4s elapsed
[P0.3 ETL] 360 flights | 1689163 samples | 0.31 flights/s | 1172.7s elapsed
[P0.3 ETL] 370 flights | 1743789 samples | 0.31 flights/s | 1212.4s elapsed
[P0.3 ETL] 380 flights | 1791275 samples | 0.30 flights/s | 1247.3s elapsed
[P0.3 ETL] 390 flights | 1818001 samples | 0.31 flights/s | 1266.5s elapsed
[P0.3 ETL] 400 flights | 1852743 samples | 0.31 flights/s | 1292.2s elapsed
[P0.3 ETL] 410 flights | 1914775 samples | 0.31 flights/s | 1332.6s elapsed
[P0.3 ETL] 420 flights | 1946835 samples | 0.31 flights/s | 1355.2s elapsed
[P0.3 ETL] 430 flights | 2002011 samples | 0.31 flights/s | 1394.6s elapsed
[P0.3 ETL] 440 flights | 2044502 samples | 0.31 flights/s | 1423.5s elapsed
[P0.3 ETL] 450 flights | 2074025 samples | 0.31 flights/s | 1445.7s elapsed
[P0.3 ETL] 460 flights | 2100025 samples | 0.31 flights/s | 1464.9s elapsed
[P0.3 ETL] 470 flights | 2174671 samples | 0.31 flights/s | 1515.9s elapsed
[P0.3 ETL] 480 flights | 2206295 samples | 0.31 flights/s | 1539.5s elapsed
[P0.3 ETL] 490 flights | 2260198 samples | 0.31 flights/s | 1575.1s elapsed
[P0.3 ETL] 500 flights | 2340594 samples | 0.31 flights/s | 1633.7s elapsed
[P0.3 ETL] 510 flights | 2363846 samples | 0.31 flights/s | 1652.3s elapsed
[P0.3 ETL] 520 flights | 2412467 samples | 0.31 flights/s | 1688.8s elapsed
[P0.3 ETL] 530 flights | 2476812 samples | 0.31 flights/s | 1735.2s elapsed
[P0.3 ETL] 540 flights | 2516688 samples | 0.31 flights/s | 1763.8s elapsed
[P0.3 ETL] 550 flights | 2548971 samples | 0.31 flights/s | 1786.3s elapsed
[P0.3 ETL] 560 flights | 2581031 samples | 0.31 flights/s | 1810.5s elapsed
[P0.3 ETL] 570 flights | 2629223 samples | 0.31 flights/s | 1841.2s elapsed
[P0.3 ETL] 580 flights | 2683505 samples | 0.31 flights/s | 1876.7s elapsed
[P0.3 ETL] 590 flights | 2731359 samples | 0.31 flights/s | 1911.6s elapsed
[P0.3 ETL] 600 flights | 2771827 samples | 0.31 flights/s | 1941.1s elapsed
[P0.3 ETL] 610 flights | 2786550 samples | 0.31 flights/s | 1953.1s elapsed
[P0.3 ETL] 620 flights | 2819016 samples | 0.31 flights/s | 1976.1s elapsed
[P0.3 ETL] 630 flights | 2843886 samples | 0.32 flights/s | 1995.5s elapsed
[P0.3 ETL] 640 flights | 2920370 samples | 0.31 flights/s | 2052.1s elapsed
[P0.3 ETL] 650 flights | 2999034 samples | 0.31 flights/s | 2103.3s elapsed
[P0.3 ETL] 660 flights | 3061160 samples | 0.31 flights/s | 2148.5s elapsed
[P0.3 ETL] 670 flights | 3111415 samples | 0.31 flights/s | 2184.7s elapsed
[P0.3 ETL] 680 flights | 3142178 samples | 0.31 flights/s | 2208.1s elapsed
[P0.3 ETL] 690 flights | 3179339 samples | 0.31 flights/s | 2232.3s elapsed
[P0.3 ETL] 700 flights | 3240486 samples | 0.31 flights/s | 2273.8s elapsed
[P0.3 ETL] 710 flights | 3290570 samples | 0.31 flights/s | 2309.1s elapsed
[P0.3 ETL] 720 flights | 3329986 samples | 0.31 flights/s | 2338.6s elapsed
[P0.3 ETL] 730 flights | 3414950 samples | 0.30 flights/s | 2393.6s elapsed
[P0.3 ETL] 740 flights | 3447403 samples | 0.31 flights/s | 2417.9s elapsed
[P0.3 ETL] 750 flights | 3494420 samples | 0.31 flights/s | 2452.5s elapsed
[P0.3 ETL] 760 flights | 3562148 samples | 0.30 flights/s | 2502.7s elapsed
[P0.3 ETL] 770 flights | 3594289 samples | 0.30 flights/s | 2525.3s elapsed
[P0.3 ETL] 780 flights | 3642433 samples | 0.30 flights/s | 2560.6s elapsed
[P0.3 ETL] 790 flights | 3683436 samples | 0.30 flights/s | 2590.6s elapsed
[P0.3 ETL] 800 flights | 3707894 samples | 0.31 flights/s | 2609.3s elapsed
[P0.3 ETL] 810 flights | 3744063 samples | 0.31 flights/s | 2634.2s elapsed
[P0.3 ETL] 820 flights | 3802864 samples | 0.31 flights/s | 2676.6s elapsed
[P0.3 ETL] 830 flights | 3839457 samples | 0.31 flights/s | 2704.4s elapsed
[P0.3 ETL] 840 flights | 3879246 samples | 0.31 flights/s | 2734.8s elapsed
[P0.3 ETL] 850 flights | 3942722 samples | 0.31 flights/s | 2781.6s elapsed
[P0.3 ETL] 860 flights | 4032350 samples | 0.30 flights/s | 2846.3s elapsed
[P0.3 ETL] 870 flights | 4089312 samples | 0.30 flights/s | 2887.7s elapsed
[P0.3 ETL] 880 flights | 4136698 samples | 0.30 flights/s | 2922.8s elapsed
[P0.3 ETL] 890 flights | 4161261 samples | 0.30 flights/s | 2941.0s elapsed
[P0.3 ETL] 900 flights | 4196981 samples | 0.30 flights/s | 2967.0s elapsed
[P0.3 ETL] 910 flights | 4233312 samples | 0.30 flights/s | 2994.4s elapsed
[P0.3 ETL] 920 flights | 4300027 samples | 0.30 flights/s | 3044.1s elapsed
[P0.3 ETL] 930 flights | 4329425 samples | 0.30 flights/s | 3065.8s elapsed
[P0.3 ETL] 940 flights | 4375819 samples | 0.30 flights/s | 3096.1s elapsed
[P0.3 ETL] 950 flights | 4429662 samples | 0.30 flights/s | 3134.0s elapsed
[P0.3 ETL] 960 flights | 4470445 samples | 0.30 flights/s | 3163.4s elapsed
[P0.3 ETL] 970 flights | 4507456 samples | 0.30 flights/s | 3190.6s elapsed
[P0.3 ETL] 980 flights | 4563437 samples | 0.30 flights/s | 3227.7s elapsed
[P0.3 ETL] 990 flights | 4626929 samples | 0.30 flights/s | 3267.0s elapsed
[P0.3 ETL] 1000 flights | 4677828 samples | 0.30 flights/s | 3304.0s elapsed
[P0.3 ETL] 1010 flights | 4725430 samples | 0.30 flights/s | 3340.3s elapsed
[P0.3 ETL] 1020 flights | 4776697 samples | 0.30 flights/s | 3373.6s elapsed
[P0.3 ETL] 1030 flights | 4840249 samples | 0.30 flights/s | 3416.5s elapsed
[P0.3 ETL] 1040 flights | 4892874 samples | 0.30 flights/s | 3452.6s elapsed
[P0.3 ETL] 1050 flights | 4947589 samples | 0.30 flights/s | 3489.6s elapsed
[P0.3 ETL] 1060 flights | 4974870 samples | 0.30 flights/s | 3510.2s elapsed
[P0.3 ETL] 1070 flights | 5003413 samples | 0.30 flights/s | 3531.7s elapsed
[P0.3 ETL] 1080 flights | 5041781 samples | 0.30 flights/s | 3562.0s elapsed
[P0.3 ETL] 1090 flights | 5068137 samples | 0.30 flights/s | 3582.5s elapsed
[P0.3 ETL] 1100 flights | 5081430 samples | 0.31 flights/s | 3593.2s elapsed
[P0.3 ETL] 1110 flights | 5115382 samples | 0.31 flights/s | 3618.9s elapsed
[P0.3 ETL] 1120 flights | 5150136 samples | 0.31 flights/s | 3642.0s elapsed
[P0.3 ETL] 1130 flights | 5223541 samples | 0.31 flights/s | 3693.6s elapsed
[P0.3 ETL] 1140 flights | 5271824 samples | 0.31 flights/s | 3728.6s elapsed
[P0.3 ETL] 1150 flights | 5348835 samples | 0.30 flights/s | 3782.8s elapsed
[P0.3 ETL] 1160 flights | 5409300 samples | 0.30 flights/s | 3820.5s elapsed
[P0.3 ETL] 1170 flights | 5460491 samples | 0.30 flights/s | 3857.3s elapsed
[P0.3 ETL] 1180 flights | 5498309 samples | 0.30 flights/s | 3884.6s elapsed
[P0.3 ETL] 1190 flights | 5567721 samples | 0.30 flights/s | 3930.4s elapsed
[P0.3 ETL] 1200 flights | 5603191 samples | 0.30 flights/s | 3956.5s elapsed
[P0.3 ETL] 1210 flights | 5622133 samples | 0.30 flights/s | 3972.3s elapsed
[P0.3 ETL] 1220 flights | 5677073 samples | 0.30 flights/s | 4013.2s elapsed
[P0.3 ETL] 1230 flights | 5741092 samples | 0.30 flights/s | 4060.6s elapsed
[P0.3 ETL] 1240 flights | 5777412 samples | 0.30 flights/s | 4087.6s elapsed
[P0.3 ETL] 1250 flights | 5796756 samples | 0.30 flights/s | 4102.8s elapsed
[P0.3 ETL] 1260 flights | 5836300 samples | 0.30 flights/s | 4132.7s elapsed
[P0.3 ETL] 1270 flights | 5872421 samples | 0.31 flights/s | 4159.9s elapsed
[P0.3 ETL] 1280 flights | 5885457 samples | 0.31 flights/s | 4170.2s elapsed
[P0.3 ETL] 1290 flights | 5922623 samples | 0.31 flights/s | 4196.5s elapsed
[P0.3 ETL] 1300 flights | 5981205 samples | 0.31 flights/s | 4238.9s elapsed
[P0.3 ETL] 1310 flights | 6028219 samples | 0.31 flights/s | 4269.0s elapsed
[P0.3 ETL] 1320 flights | 6116808 samples | 0.30 flights/s | 4332.3s elapsed
[P0.3 ETL] 1330 flights | 6207482 samples | 0.30 flights/s | 4398.0s elapsed
[P0.3 ETL] 1340 flights | 6277643 samples | 0.30 flights/s | 4448.5s elapsed
[P0.3 ETL] 1350 flights | 6332106 samples | 0.30 flights/s | 4488.5s elapsed
[P0.3 ETL] 1360 flights | 6409326 samples | 0.30 flights/s | 4544.7s elapsed
[P0.3 ETL] 1370 flights | 6459508 samples | 0.30 flights/s | 4577.9s elapsed
[P0.3 ETL] 1380 flights | 6545436 samples | 0.30 flights/s | 4634.0s elapsed
[P0.3 ETL] 1390 flights | 6606988 samples | 0.30 flights/s | 4674.9s elapsed
[P0.3 ETL] 1400 flights | 6650690 samples | 0.30 flights/s | 4704.1s elapsed
[P0.3 ETL] 1410 flights | 6756979 samples | 0.30 flights/s | 4775.9s elapsed
[P0.3 ETL] 1420 flights | 6795285 samples | 0.30 flights/s | 4804.0s elapsed
[P0.3 ETL] 1430 flights | 6848366 samples | 0.30 flights/s | 4839.3s elapsed
[P0.3 ETL] 1440 flights | 6932959 samples | 0.29 flights/s | 4896.3s elapsed
[P0.3 ETL] 1450 flights | 6986891 samples | 0.29 flights/s | 4934.9s elapsed
[P0.3 ETL] 1460 flights | 7049678 samples | 0.29 flights/s | 4978.7s elapsed
[P0.3 ETL] 1470 flights | 7131222 samples | 0.29 flights/s | 5036.5s elapsed
[P0.3 ETL] 1480 flights | 7210977 samples | 0.29 flights/s | 5095.4s elapsed
[P0.3 ETL] 1490 flights | 7289545 samples | 0.29 flights/s | 5153.5s elapsed
[P0.3 ETL] 1500 flights | 7361715 samples | 0.29 flights/s | 5203.2s elapsed
[P0.3 ETL] 1510 flights | 7399619 samples | 0.29 flights/s | 5230.6s elapsed
[P0.3 ETL] 1520 flights | 7467582 samples | 0.29 flights/s | 5276.3s elapsed
[P0.3 ETL] 1530 flights | 7547079 samples | 0.29 flights/s | 5332.3s elapsed
[P0.3 ETL] 1540 flights | 7617919 samples | 0.29 flights/s | 5379.6s elapsed
[P0.3 ETL] 1550 flights | 7708390 samples | 0.28 flights/s | 5445.6s elapsed
[P0.3 ETL] 1560 flights | 7770566 samples | 0.28 flights/s | 5486.8s elapsed
[P0.3 ETL] 1570 flights | 7858858 samples | 0.28 flights/s | 5543.6s elapsed
[P0.3 ETL] 1580 flights | 7919923 samples | 0.28 flights/s | 5582.2s elapsed
[P0.3 ETL] 1590 flights | 7978647 samples | 0.28 flights/s | 5625.6s elapsed
[P0.3 ETL] 1600 flights | 8022319 samples | 0.28 flights/s | 5657.4s elapsed
[P0.3 ETL] 1610 flights | 8051314 samples | 0.28 flights/s | 5679.0s elapsed
[P0.3 ETL] 1620 flights | 8112559 samples | 0.28 flights/s | 5723.7s elapsed
[P0.3 ETL] 1630 flights | 8185238 samples | 0.28 flights/s | 5775.3s elapsed
[P0.3 ETL] 1640 flights | 8228750 samples | 0.28 flights/s | 5807.3s elapsed
[P0.3 ETL] 1650 flights | 8290430 samples | 0.28 flights/s | 5849.9s elapsed
[P0.3 ETL] 1660 flights | 8364761 samples | 0.28 flights/s | 5901.8s elapsed
[P0.3 ETL] 1670 flights | 8421543 samples | 0.28 flights/s | 5943.1s elapsed
[P0.3 ETL] 1680 flights | 8508538 samples | 0.28 flights/s | 6003.8s elapsed
[P0.3 ETL] 1690 flights | 8539175 samples | 0.28 flights/s | 6026.9s elapsed
[P0.3 ETL] 1700 flights | 8617442 samples | 0.28 flights/s | 6083.4s elapsed
[P0.3 ETL] 1710 flights | 8686259 samples | 0.28 flights/s | 6130.7s elapsed
[P0.3 ETL] 1720 flights | 8756819 samples | 0.28 flights/s | 6181.3s elapsed
[P0.3 ETL] 1730 flights | 8805583 samples | 0.28 flights/s | 6213.6s elapsed
[P0.3 ETL] 1740 flights | 8853166 samples | 0.28 flights/s | 6246.7s elapsed
[P0.3 ETL] 1750 flights | 8922707 samples | 0.28 flights/s | 6297.3s elapsed
[P0.3 ETL] 1760 flights | 8989104 samples | 0.28 flights/s | 6345.6s elapsed
[P0.3 ETL] 1770 flights | 9093290 samples | 0.28 flights/s | 6420.5s elapsed
[P0.3 ETL] 1780 flights | 9170052 samples | 0.27 flights/s | 6477.0s elapsed
[P0.3 ETL] 1790 flights | 9224471 samples | 0.27 flights/s | 6517.0s elapsed
[P0.3 ETL] 1800 flights | 9307352 samples | 0.27 flights/s | 6574.7s elapsed
[P0.3 ETL] 1810 flights | 9374968 samples | 0.27 flights/s | 6623.3s elapsed
[P0.3 ETL] 1820 flights | 9430820 samples | 0.27 flights/s | 6660.8s elapsed
[P0.3 ETL] 1830 flights | 9504696 samples | 0.27 flights/s | 6713.2s elapsed
